Generation,Individual,Fitness
6,5,17596931470.151
6,7,17572928130.6003
6,6,17578653462.6461
6,8,17500920925.8677
6,9,17405486792.8241
6,10,16998344510.9235
6,11,17033969540.3086
6,12,17891461386.4742
6,13,17846003445.7245
6,14,17117146544.851
6,15,17449840199.7418
6,16,17550277039.3335
6,17,17370032640.2774
7,0,17891461386.4742
7,1,17846003445.7245
7,3,17702837664.3123
7,2,17703280717.2252
7,5,17637789246.1173
7,4,17687059707.0674
7,6,17614160923.403
7,7,17596931470.151
7,8,17578653462.6461
7,9,17513631942.8788
7,10,17170768764.5794
7,11,17244147046.7827
7,12,17866841866.7463
7,13,17692347687.8517
7,14,17139296228.3495
7,15,16967920948.4889
7,16,17749496366.8317
7,17,17155501514.737
8,0,17891461386.4742
8,1,17866841866.7463
8,2,17846003445.7245
8,3,17749496366.8317
8,4,17703280717.2252
8,5,17702837664.3123
8,6,17692347687.8517
8,7,17687059707.0674
8,8,17637789246.1173
8,9,17137771598.3922
8,10,17776839966.0028
8,11,17019560605.2151
8,12,17535028196.9344
8,13,17371459484.0118
8,14,17304274993.6869
8,15,17550368447.0295
8,16,17077081685.0087
8,17,17415381464.3145
9,0,17891461386.4742
9,1,17866841866.7463
9,2,17846003445.7245
9,3,17776839966.0028
9,4,17749496366.8317
9,5,17703280717.2252
9,6,17702837664.3123
9,7,17692347687.8517
9,8,17687059707.0674
9,9,17232077292.4957
9,10,17592905299.2252
9,11,17037367829.7839
9,12,17019223873.7604
9,13,17107307504.8352
9,14,17407224380.9337
9,15,17369949741.2534
9,16,17215638107.4585
9,17,17165032508.3964
10,0,17891461386.4742
10,1,17866841866.7463
10,2,17846003445.7245
10,3,17776839966.0028
10,4,17749496366.8317
10,5,17703280717.2252
10,6,17702837664.3123
10,7,17692347687.8517
10,8,17687059707.0674
10,9,16946558248.8056
10,10,17687194793.0348
10,11,16949057560.7002
10,12,17842530869.8886
10,13,17514734659.3138
10,14,17413286424.9658
10,15,17250480750.0935
10,16,17386963220.6531
10,17,16958726479.9901
11,0,17891461386.4742
11,1,17866841866.7463
11,2,17846003445.7245
11,3,17842530869.8886
11,4,17776839966.0028
11,5,17749496366.8317
11,7,17702837664.3123
11,6,17703280717.2252
11,8,17692347687.8517
11,9,17344276266.6114
11,10,17872566073.3379
11,11,16844570713.1793
11,12,17495753369.584
11,13,17887840292.1333
11,14,17960375303.3452
11,15,17197741501.6188
11,16,17035491765.8847
11,17,17079676582.6737
12,1,17891461386.4742
12,0,17960375303.3452
12,3,17872566073.3379
12,2,17887840292.1333
12,4,17866841866.7463
12,5,17846003445.7245
12,6,17842530869.8886
12,7,17776839966.0028
12,9,17767010744.3196
12,8,17749496366.8317
12,11,17381087257.0153
12,10,17364414912.5407
12,13,17080378219.3101
12,12,17222872718.1677
12,15,18019109257.283
12,14,17616123569.7255
12,17,17380989383.5903
12,16,17687485937.6254
13,0,18019109257.283
13,1,17960375303.3452
13,2,17891461386.4742
13,3,17887840292.1333
13,4,17872566073.3379
13,5,17866841866.7463
13,6,17846003445.7245
13,7,17842530869.8886
13,8,17776839966.0028
13,9,17582046043.7423
13,10,17931171748.7927
13,11,17168989099.8971
13,12,17468799792.6329
13,13,17508522557.7102
13,14,17210987517.9494
13,15,17583317255.8505
13,16,17732849298.1266
13,17,17608614531.5271
14,0,18019109257.283
14,1,17960375303.3452
14,3,17891461386.4742
14,2,17931171748.7927
14,5,17872566073.3379
14,4,17887840292.1333
14,6,17866841866.7463
14,7,17846003445.7245
14,8,17842530869.8886
14,9,17277684561.155
14,10,18083636008.0016
14,11,18063821113.6492
14,12,17586978392.4351
14,13,17837719766.1182
14,14,17473021012.9664
14,15,17669306087.7837
14,16,17758002198.7313
14,17,17515059458.27
15,0,18083636008.0016
15,1,18063821113.6492
15,2,18019109257.283
15,3,17960375303.3452
15,4,17931171748.7927
15,5,17891461386.4742
15,7,17872566073.3379
15,6,17887840292.1333
15,8,17866841866.7463
15,9,18036420071.1475
15,10,17492401272.7055
15,11,17887070846.3283
15,12,16863514926.7989
15,13,17484714414.8622
15,14,17490908499.5731
15,15,18000461169.1303
15,16,18218612412.3787
15,17,17029925100.7299
16,1,18083636008.0016
16,0,18218612412.3787
16,2,18063821113.6492
16,3,18036420071.1475
16,4,18019109257.283
16,5,18000461169.1303
16,6,17960375303.3452
16,7,17931171748.7927
16,8,17891461386.4742
16,9,17944400132.4912
16,10,17949608374.568
16,11,17719478079.851
16,12,17745689932.1468
16,13,17809226088.0143
16,14,17906393457.8859
16,15,17792243053.1528
16,16,17604559565.8733
16,17,17572981850.2768
17,1,18083636008.0016
17,0,18218612412.3787
17,2,18063821113.6492
17,3,18036420071.1475
17,4,18019109257.283
17,5,18000461169.1303
17,6,17960375303.3452
17,7,17949608374.568
17,8,17944400132.4912
17,9,17694459994.3737
17,10,17632619455.4152
17,11,17642527161.7241
17,12,17512272829.5767
17,13,17653498855.6672
17,15,17547156590.9089
17,14,17070321352.0687
17,16,17147749285.4155
17,17,18681802318.0137
18,1,18218612412.3787
18,0,18681802318.0137
18,2,18083636008.0016
18,3,18063821113.6492
18,4,18036420071.1475
18,5,18019109257.283
18,6,18000461169.1303
18,7,17960375303.3452
18,8,17949608374.568
18,9,17514572053.7481
18,10,18052074458.7249
18,11,18159606709.9598
18,12,17360308026.1196
18,13,17707255695.4933
18,14,17630794977.2742
18,15,17841163678.6437
18,16,17630121588.2404
18,17,17133750616.3357
19,1,18218612412.3787
19,0,18681802318.0137
19,3,18083636008.0016
19,2,18159606709.9598
19,4,18063821113.6492
19,5,18052074458.7249
19,6,18036420071.1475
19,7,18019109257.283
19,8,18000461169.1303
19,9,17802912836.4221
19,11,17783547393.6023
19,10,18011991679.4661
19,13,17976754910.0105
19,12,18362088176.8994
19,14,17913394197.0259
19,15,17656457331.8412
19,16,18110380653.4465
19,17,17807534181.2524
